section_info,question_text,answer_text,views_info,date,link1
Dolzarb savollar,Assalomu alaykum! Faqir miskinlar deb kimlar aytiladi? Hozirgi kunda bir miskinni ikki maxal qornini to'ydirishga o'rtacha qancha summa belgilangan? 10 ta miskinni pulini bitta miskinga bersam bo'ladimi?,"Va alaykum assalom!Moli nisobga etmagan kishilar faqirlar hisoblanadi. Bu har kim o'zi eydigan narsani hisoblasa, adolatli bo'ladi. 10kun bersa bo'ladi. Vallohu alam!http://savollar.islom.uz/smf/index.php?topic=18201.0",2264,09.03.2017,http://savollar.islom.uz/smf/index.php?topic=18201.0
Turli savollar,"Assalomu alaykum! Uy oldi sotdi o'rtasidagi yani uy oluvchiga uy, uy sotuvchiga xaridor topib berib pul ishlash xalolmi yo xarommi?",– Va alaykum assalom! Quyidagi linkda berilgan maqolani o'qing.http://fiqh.uz/maqola/602,1314,06.07.2020,http://fiqh.uz/maqola/602
Ibodatlar,Assalomu alaykum! Sahf sajdasi qanday oqiladi? Namozda qanday xatolar qilsa sahf sajdasi qiladi?,Va alaykum assalom!http://fiqh.uz/index.php/ibodat/namoz/384-sazhdai-sa-v-bajoni,1961,12.03.2017,http://fiqh.uz/index.php/ibodat/namoz/384-sazhdai-sa-v-bajoni
Ibodatlar,"Assalomu alaykum! Hurmatli ustozlar, agar bir odamning qazo namozi bo'lsa, uning o'rniga nafl o'qisa bo'ladimi? Qaysi biri afzalroq? Vitr namozini qazosi ham o'qiladimi?",Va alaykum assalom!http://savollar.islom.uz/smf/index.php?topic=34127.0,2308,13.03.2017,http://savollar.islom.uz/smf/index.php?topic=34127.0
Turli savollar,Assalomu alaykum!Bir savolim bor edi.Tavba yo'lini tushuntirib bersangiz!,Va alaykum assalom!http://old.islom.uz/content/view/1182/101/,1994,13.03.2017,http://old.islom.uz/content/view/1182/101/
Ibodatlar,Assalomu alaykum! Ustozlar er-xotin birga namoz o'qiganda er imomlika o'tishi joizmi?,Va alaykum assalom!http://savollar.islom.uz/savol/37673,9293,15.03.2017,http://savollar.islom.uz/savol/37673
Oila va turmush,"Assalomu alaykum! Ustozlar, birinchi turmush o'rtog'im vafot qilgandi, mahrini berishga ulgurmagandim. Nima qilishim kerak?","Va alaykum assalom!Har bir inson vafot topganda shariat undan meros oladigan kishilarni ham belgilab qo'ygan. Sizning holatingizda ayolingizning mahrini o'rtaga tashlaysiz, agar ayolingizni ota-onalari tirik bo'lishsa o'sha mahrdan ulushlarini berishingiz shart. Buning uchun ayolingiz vafot topganda ayolingizning ota-onasi, farzandlaridan kimlar bo'lganini yozsangiz, kimlar olishga haqdorligini ajratib beramiz. Vallohu alam!http://savollar.islom.uz/smf/index.php?topic=6903.0http://savollar.islom.uz/smf/index.php/topic,30965.0.html",2293,14.03.2017,"http://savollar.islom.uz/smf/index.php?topic=6903.0http://savollar.islom.uz/smf/index.php/topic,30965.0.html"
Dolzarb savollar,"Assalomu alaykum! Qiz bolaga necha yoshdan ro'za buyurilgan? Men bazi sabablar bilan ro'za tuta olmaganman, shuni qazolarini qanday tutaman? Nima deb niyat qilaman. Javob uchun oldindan rahmat.",Va alaykum assalom!http://savollar.islom.uz/savol-38630/#comment-12322http://savollar.islom.uz/savol/40287,1745,14.03.2017,http://savollar.islom.uz/savol-38630/#comment-12322http://savollar.islom.uz/savol/40287
Moliya va tijorat,"Assalomu alaykum! Bozorda do'konim bo'lib, bozordigi dallolar yani saygaklar klent obkelib 100 mingli mahsulotimni 200 minga sotib, 100 ming ishlab chiqib ketishadi. Ularni topgan pullari halolmi?",Va alaykum assalom!Joiz emas. Sizdan sotib olib keyin sotishlar kerak yoki vakil bo'lishlari kerak. Vallohu alam!http://fiqh.uz/index.php/ibodat/moliya/savdo/602-dallollikning-ukmi,2249,14.03.2017,http://fiqh.uz/index.php/ibodat/moliya/savdo/602-dallollikning-ukmi
Dolzarb savollar,"Assalomu alaykum! Bir olim zotni ziyorat qildim. Yoshlari 96 da ekan. Shifokorlar u kishini tekshirib ko'rishsa, aytarlik kasallik yo'q ekan. U zot: «Allohga qasamki, hayotimda biror harom ish qilganimni eslay olmayman», dedilar. Yana bir olim bor edilar, keksayib qolgan bo'lsalar ham, qomatlari tik, ko'zlari o'tkir, quloqlari ham yaxshi eshitar edi. Buning sababini so'rashganda u zot: «Bolam! Biz yoshlikda tana azolarimizni (gunohdan) muhofaza qilgan edik, shuning uchun Alloh qariganimizda ham ularni muhofaza qilib berdi», dedilar.Bir maruzada xotin o'z eridan taloq berishini so'raydi, buning sababi eri hech ham kasal bo'lmasligi bo'ladi. Firavn ham kasal bo'lmagan deyishadi. Shuningdek hayotda yaxshi odamlarni ham kasal bo'lganini guvohi bo'lamiz. Kasallik bandani yomon ekanligiga dalil bo'ladimi?",Va alaykum assalom!Siz zikr qilgan kasal bo'lmagan zotlar ham vaqti-vaqti bilan turli dardlarga chalinib turishi bor. Firavn kabilar esa umuman kasal bo'lmagan kishilardir. Vallohu alam!http://old.islom.uz/content/view/1499/108/,2349,15.03.2017,http://old.islom.uz/content/view/1499/108/
